Category,Category_Description,Column,Description
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_buried(%),Percentage of households whose waste is burried
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_other(%),Percentage of households whose waste is disposed in other ways
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_not stated(%),Percentage of households whose waste disposal is not stated
Sanitation,"Sanitation is defined as conditions relating to public health, especially the provision of clean drinking water and adequate sewage disposal. Safe human waste disposal is crucial for human health and well-being of people as it reduces the spread of disease-causing germs. Human waste disposal facilities that are considered improved/adequate include connection to main sewer, septic tanks, ventilated improved pit latrine, pit latrine with slab and composting toilets. Unimproved human waste disposal methods include flushing to other areas, using uncovered pit latrines or bucket toilets and open defecation. Sharing of toilets among households exposes users to increased risks of contracting infectious diseases. Washing of hands with soap and clean running water is an important control measure for reducing the spread of disease-causing germs. Sharing of toilets is common in urban areas (65.9%) than in rural areas (42.6%). Management of domestic waste disposal is an important aspect in keeping a clean environment. Nationally, 63.7 per cent of the households disposed off their waste by either dumping it in their compounds or burning it in open ground. Results show that 3.7 per cent of households had their solid waste collected by county governments while 13.6 per cent had it collected by private entities.",Waste disposal_number of households ('000),Total number of households per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",County,Name of the county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Improved water sources_piped into dwelling(%),Percentage of households with acccess to piped water into their dwelling per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Improved water sources_piped into plot/yard(%),Percentage of households with acccess to piped water into their plot/yard per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Improved water sources_piped public tap/stand pipe(%),Percentage of households with acccess to piped water into their dwelling per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Improved water sources_protected spring(%),Percentage of households with acccess to protected spring per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Improved water sources_rain water collection(%),Percentage of households with acccess to rain water collection per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Improved water sources_bottled water(%),Percentage of households with acccess to bottled water per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Improved water sources_tubewell/borehole with pump(%),Percentage of households with acccess to tubewell/borehole with pump per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Improved water sources_protected well(%),Percentage of households with acccess to protected well per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Unimproved water sources_unprotected well(%),Percentage of households with acccess to unprotected well per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Unimproved water sources_unprotected spring(%),Percentage of households with acccess to unprotected springs per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas","Unimproved water sources_surface water - river, stream, pond, dam, lake, canal, irrigation channel(%)","Percentage of households with acccess to surface water - river, stream, pond, dam, lake, canal, irrigation channel per county"
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Unimproved water sources_other(%),Percentage of households with acccess to other sources of water per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Unimproved water sources_not stated(%),Percentage of households with acccess to water not stated per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Unimproved water sources_number of households ('000),Number of households with acccess to unimproved water sources per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Unimproved water sources_vendors_tanker/truck(%),Percentage of households with acccess to vendors tanks of water per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Unimproved water sources_vendors_cart with small tank/ drum/ buckets(%),Percentage of households with acccess to vendors carts of water per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Unimproved water sources_vendors_bicycles with buckets(%),Percentage of households with acccess to vendors bicycle of water per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Water treatment method_boil(%),Percentage of households which boil water as a treatment method per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas","Water treatment method_add bleach/chlorine (waterguard, aquaguard, etc)(%)",Percentage of households which add chlorine as a treatment method per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas","Water treatment method_use water filter (ceramic, sand,composite, etc)(%)",Percentage of households which use water filter as a treatment method per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Water treatment method_solar disinfenction(%),Percentage of households which use solar disinfection as a treatment method per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Water treatment method_sieve through a cloth(%),Percentage of households which sieve through a cloth as a treatment method per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Water treatment method_let it stand and settle(%),Percentage of households which let water stand and settle as a treatment method per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Water treatment method_nothing,Percentage of households which do nothing as a treatment method per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Water treatment method_other(%),Percentage of households which use other form of treatment method per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Water treatment method_number of households ('000),Total number of households per county
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Time taken_zero (in premises)(%),Time to fetch water (less than 1 minutes- inside premises)
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Time taken_less than 30 minutes(%),Time to fetch water (less than 30 minutes- to the nearest water point)
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Time taken_30 minutes or longer(%),Time to fetch water (more than 30 minutes- to the nearest water point)
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Time taken_not stated(%),Time to fetch water (not stated- to the nearest water point)
Water,"The data shows the distribution of households by main source of drinking water, the distribution of households by the method they use to make water safer for drinking, the time taken by households to fetch drinking water, and the percentage distribution of households by volume of water used in litres in a month. Households are considered to use improved drinking water if it is obtained from the following sources: piped water, borehole with pump, protected spring, protected well, rainwater and bottled water. In this survey, no tests were undertaken to ascertain the water quality. 72.6 per cent of households have access to improved drinking water sources. In rural areas, 61.8 per cent of the households have access to improved sources of drinking water compared to 86.7 per cent of the households in urban areas",Time taken_number of households ('000),Total number of households
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",County,Name of the county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Floor_Total households,Total number of households per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Floor_Cement(%),Percentage of households with cemented floors per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Floor_Tiles(%),Percentage of households with tiled floors per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Floor_Wood(%),Percentage of households with wooden floors per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Floor_Earth(%),Percentage of households with mud floors per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Floor_Other(%),Percentage of households with other forms of floors per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Total households,Percentage of household that reported their wall materials per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Stone(%),Percentage of households that reported stone walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Brick/block(%),Percentage of households that reported brick or block walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Mud/wood(%),Percentage of households that reported mud or wood walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Mud/ cement(%),Percentage of households that reported mud or cemented walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Wood only(%),Percentage of households that reported wooden walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Corrugated iron sheets(%),Percentage of households that reported corrugated or ironsheet walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Grass/reeds(%),Percentage of households that reported grass or reeds walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Tin(%),Percentage of households that reported tin walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Wall_Other(%),Percentage of households that reported other form of walls per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Total households,Total number of households per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Corrugated iron sheet(%),Percentage of households with corrugated/iron sheets roofing per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Tiles(%),Percentage of households with tiled roofing per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Concrete(%),Percentage of households with concrete roofing per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Asbestos sheets(%),Percentage of households with asbestos sheets roofing per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Grass(%),Percentage of households with grass roofing per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Makuti(%),Percentage of households with makuti roofing per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Tin(%),Percentage of households with tin roofing per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Mud/dung(%),Percentage of households with mud/dung roofing per county
Household Material,"This data presents the proportion of households by predominant wall material of main dwelling, the main roofing material and the main floor material",Roof_Other(%),Percentage of households with other form of roofing per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",County,Name of the county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Total male headed households(number),Total number of households headed by men/males per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Total male headed households (%),Percentage of households headed by men/males  per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Total female headed households(number),Total number of households headed by females per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Total female headed households(%),Percentage of household headed by females per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Total households,Total number of households per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Female headed(below 15 years),Number of households headed by female/women below 15 years per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Female headed(15-74 years),Number of households headed by female/women between 15-74 years per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Female headed(over 75 years),Number of households headed by female/women over 75 years per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Male headed(below 15 years),Number of households headed by male/men below 15 years per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Male headed(15-74 years),Number of households headed by male/men between 15-74 years per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Male headed(over 75 years),Number of households headed by male/men over 75 years per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Total(below 15 years),Overall number of households headed by persons below 15 years per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Total(15-74 years),Overall number of households headed by persons between 15-74 years per county
Household Headship,"The data presents the percentage distribution of households by sex of household head. Nationally, about 7 in10 households were headed by males. Male-headed households were higher in both rural and urban areas at 64.0 per cent and 72.2 per cent, respectively",Total(over 75 years),Overall number of households headed by persons above 75 years per county
