ID,County,Value chain,Value chain stage,Hazard,Severity,Consequences,Ongoing adaptations,Potential adaptations
882,Nakuru,Dairy cow,Post harvest,Floods,Moderate,"Storing-not enough, reduced milk for storage, transportation -difficulties in transporting the milk due to muddy roads","Transport of dairy products using animal means, value addition e.g. fermented milk, storage in locally available cans/holding containers, immediate sale to prevent household storage","Improved transport networks, access to refrigerated storage structures, establish community based milk reserve structures, acquire modern milking equipment"
883,Nakuru,Irish Potatoes,On farm,Increased temperatures,Major-Minor,"Poor tuber formation, reduced germination and growth rates, scorching, increased pest/disease incidence, intense pesticide use, poor soil conditions(loss of soil cover)","Early/staggered planting, use of IPM techniques(pest and disease control), safe pesticide use, conservation agriculture(mulching/zero tillage), tree planting(wind breaks), crop rotation, intercropping with maize, small scale irrigated organic farming, use of plastic mulches","Conservation agriculture, irrigation, early warning system, green houses, hydroponics promotion, GAP, IPM, organic farming, use of chisel for minimum soil disturbance, use of plastic mulching and technology, access to crop insurance schemes"
884,Nakuru,Irish Potatoes,Post harvest,Intense rainfall,Major,"Increased labor cost, poor quality of product and high crop losses, reduced shelf life","Use of IPM strategies to control pest and diseases during tuber storage, makeshift shades, manual grading, locally available storage materials(gunny bags), use of human labour in harvesting, indigenous knowledge for tuber preservation, value addition(in grading and packaging)","Establishment of sheds/storage, establish group machines for mechanized harvesting, early warning systems, more improved varieties that can stay longer in the ground, use of open nets and bags for packaging, research on better variety with longer shelf life, adopt better packaging materials"
885,Nakuru,Irish Potatoes,On farm,Intense rainfall,Severe-Minor,"Increased cost of labor and delayed land preparation, increase labor costs on weeding, high costs of pesticides for those who buy chemicals, high loss of soil due to erosion, poor yields","Early warning system, IPM, GAP, conservation agriculture, early planting, integrated land and water management(canals/drains), advisory services","Land pooling by smallholders(increase acreage and economies of scale), improved access to crop insurance schemes and early warning systems"
886,Nakuru,Dairy cow,Market,Floods,Moderate-Minor,"Linking farmers to buyers-difficult in linkages due to poor infrastructure, pricing-high prices due to reduced milk and low market activity","Use of donkeys, government intervention on the road infrastructure, avail marketing information","Access to external market information, improved road infrastructure, formation of farmer cooperatives(ease marketing)"
887,Nakuru,Dairy cow,Input supply,Floods,Major-Moderate,"Breeding-difficulties in breeding, multilple abortions, insemination repeats, feed provision-shortage and compromised quality","Use of supplements, feed/fodder conservation of maize stovers, silage making and hay, change of breeds, sourcing vet drugs and other vet guidance","Use of improved disease control drugs, provision of feed relief, access to disease resistant animal breeds"
888,Nakuru,Local poultry,Input supply,Droughts,Severe-Moderate,"Feed shortage and poor feed quality, high feed prices, high prices of building material","Poultry feed supplements with kitchen waste, farmer to farmer exchange of breeding stock, poultry drugs(use of indigenous and/or modern drugs)","Use of crop based chicken supplements, construction of improved chicken houses using locally available resources"
889,Nakuru,Irish Potatoes,Market,Intense rainfall,Severe,Shortage of commodities in the market(low supply),"Individual marketing, trainings in agribusiness and records keeping, use of human labor, tractors, donkeys and tractors for transport to market","Contract farming, crop insurance, organised market, value addition in cottage industry, e-marketing, opening of agriculture roads"
890,Nakuru,Irish Potatoes,Market,Increased temperatures,Severe-Minor,"Low volumes of supplied tubers, deteriorated tuber quality, high prices due to scarcity and high demand, loss of marketing opportunities","Farm gate sales, local marketing, disposal of damaged produce for livestock consumption","Organised marketing, value addition, agribusiness capacity building, niche markets, linking traders with producers from other counties, warehouse and receipt system "
891,Nakuru,Dairy cow,Input supply,Droughts,Moderate,"Breeding- difficult to breed, cows don't come on heat, animals get emaciated, feed shortages and compromised quality","Use of supplementation, feeding preserved fodder, conservation of maize stovers, silage making and hay, resuming cattle breeding during drought period, pasture scavenging","Use of improved drugs, subsidize drugs and supplements, access to drought tolerant varieties, access to animal cross breeds, government provision of pastures/feeds"
892,Nakuru,Irish Potatoes,Input supply,Increased temperatures,Severe-Major,"High costs of extension services delivery, it leads to poor formation of tubers hence low yields, it leads to break up seeds varieties, it increases the cost of seed production",Use of clean tuber planting material,Research and improved access to drought resistant crop varieties and to credit facilities
915,Nandi,Cattle (milk),Input supply,Moisture stress,Minor-Moderate,"Limited growth of forages resulting to inadequate feeds at the farms, Limited application of extension technologies as invested resulting from unfavourable climatic conditions to promote forage establishment, Reduced animal nutrition leading to prolonged calving intervals","Making hay, silage and on-farm feed formulation, use of high yielding feed varieties like brachiaria, investing in short-period/season feeds, crop rotation for animal feeds/forage, holding farmer field schools to equip farmers with alternative feeding, provision of nutritious feeds to shorten calving periods, provision of subsidized A.I services to improve breed quality","Continued feed conservation, introducing high yielding forage varieties, Encouraging farm mechanization and feed formulation, Provide climate forecast information in advance, embracing crop rotation, introduction of more drought resistant feeds, Encouraging farmers to embrace A.I services, providing nutritious feeds (seeds) at affordable prices to support mid and low income earners"
916,Nandi,Cattle (milk),Input supply,Variations in growing seasons,Moderate,"Inconsistent supply of feeds- unpredicatable seasons do not allow for planning of feed production, Limited application of extension technologies as invested, Officers cannot plan for efficient services as climatic conditions keep changing","Feed consumption-hay silage, early planting, farm mechanization e.g foliage harvesters, use of short season foliage varieties e.g foliage sorghum, Capacity building by government extension staff, cooperatives and NGOs, Provision of supplemental nutrition to cows, provision of subsidized A.I service by county government, use bulls, capacity building","Feed consumption and storage, early planting, use of short season forages, Increase capacity building, collaboration with development partners, Good nutrition, provision, A.I subsidy, continued capacity building"
917,Nandi,Cattle (milk),Market,Moisture stress,Moderate,"Reduced milk prices resulting from- contractual volume demands, increased informal sales destablizing the markets, increased milk prices in the informal sector, hence consumer ends up spending more, reduced milk production increases demand and thus no promotion is required, reduced milk volumes results in little or no profits, cost of sales increase despite low volumes, loss of business","Joining cooperatives in dairy unions to negotiate for better prices(milk), development of a processing plan, identifying and investing in alternative sources of income, job creation on the processing plant, value addition, product diversification","Encouraging negotiations by dairy union, development of dairy union processing plant to own the whole dairy value chain, encouraging diversification of income sources, value addition and product diversification"
918,Nandi,Cattle (milk),Market,Variations in growing seasons,Moderate,"Price fluctuations and fluctuations on promotion as a result of fluctuating market forces (demand and supply), reduced sales due to the inconsistency","Utilizing NDCU bargaining for better prices, collective marketing of milk, utilization of church barazas , main media, social media, stakeholder engagement, value addition to milk to generate different high value products, venturing into alternative livelihoods","Strengthening of NDCU, more dairy management groups to join primary cooperatives, bulking, diversification of milk products, promote stakeholders collaboration, enact policies that promote dairy production, promote milk value addition, venturing into alternative livelihoods"
919,Nandi,Cattle (milk),On farm,Moisture stress,Moderate,"low yield of forage as a result of stunting, pests (drought related) and compromised nutrition value of feeds, reduced milk production resulting from inadequacy of feeds","Off-farm supplementation of forage, acquisation of concentrates from agro-inputs and feed stores, forming and joing dairy cooperative societies, feed conservation (hay, silage), use of short season forages, vaccination, parasite control by dipping, paddocking, deworming","Establishment of feed formulation facilities to subsidize cost of production, encouraging de-stocking and zero grazing, proposed forming of feed formulation cooperative societies, introducing short season feeds varieties, development of disease -resistant breeds, continued diseases control management (deworming, dipping, vaccination), capacity building on diseases management"
920,Nandi,Cattle (milk),On farm,Variations in growing seasons,Moderate,"Insufficient planning for feed establishment may lead to low foliage yields, insufficient/inadequate feeds, increased occurence of parasites and diseases","Foliage establishment and conservation, use of high yielding foliage and off-farm supplementation, promote high yielding cow breeds, capacity building on farm feed formulation, use of high quality and yield varieties, parasite control by dipping, paddoking and deworming, vaccination programme, capacity building on diseases management","Production and consumption of foliage, use of high yielding foliage, on-farm feed formulation, short season varieties, development of feed banks, group formation/cooperatives for feed production, continued dipping and deworming, vaccination of cows, capacity building on disease management"
921,Nandi,Cattle (milk),Post harvest,Moisture stress,Moderate,"Adulteration and compromised milk quality, loss of job, loss of contract for POs due to low volumes, increased losses resulting from- low milk volumes, high cost of processing,  rejection of milk resulting from compromised milk quality ","Establishment of separate feed storages, staggering production of feeds, cooperation and partnership amongs cooperatives, minimizing of cost by partnering amongst cooperatives, joining unions and federations to bargain for higher milk prices, product diversification, promoting formation of dairy management groups to supply more milk to processors","Establishment of separate feed stores, staggering production of feeds, partnership among cooperatives to cost share, development of policy to ban informal markets in dairy industry, partnership amongst cooperatives, promoting federation, product diversification, reducing costs of processing"
922,Nandi,Cattle (milk),Post harvest,Variations in growing seasons,Moderate,"Increased storage costs because of time/duration of storage cannot be estimated, collision of harvest seasons of animal feeds and other yields(crops), fluctuations in bulking volumes results to planning challenges and increases the cost of processing","Construction of feed banks, staggering production of feeds, cooperation among cooperatives, cooperatives to cooperate with NDCU to negotiate for higher prices, diversification of processed products, promote milk bulking, promote formation of groups and cooperatves","Facilitating cooperation among cooperatives, establishment of community feed bank, staggering of feeds production, strengthening of NDCU, establish policy that stregthens formal milk channels, product diversification, formation of dairy management groups, strengthen cooperatives"
923,Nandi,Indigenous chicken,Input supply,Excess rainfall,Moderate-Severe,"High cost of construction materials leading to high cost of production, Impassable roads leads to high cost of transportation, high chick mortalities during transportation","Puttting up structures from locally available materials such as off cuts, old mabatis, grass thatched houses, The county government have the maintenance of feeder roads, farmers hatch their own fertilized eggs from other farmers, They use the maize,vegetables, kitchen left overs, Use of small scale feed millers","Scale up use of appropriate structures, capacity building of farmers on appropriate structure, Upscale maintenance of poor roads, chicks hatching at farmers place or group level, Promote own farm feed formulation, improve feeder roads"
924,Nandi,Indigenous chicken,Input supply,Very low temperatures,Moderate-Severe,"Increased cost of inputs due to construction materials, labour intensive, capital intensive, High mortality rate due to chilly conditions, a lot of losses occur","Putting up poultry houses using locally available materials e.g offcuts, mud houses, Farmers hatch own chicks using selected birds that are good in hatching, do synchronized hatching, Free range systems type of rearing, use of locally available food e.g crashed maize and kitchen left overs","Scale up use of appropriate chicken housing, capacity building of farmers on use of proper chicken housing, Promote local /home production of chicks using incubators, Promote on-farm feed production, promote use of alternative feeds and feeding such as use of worms"
925,Nandi,Indigenous chicken,Market,Excess rainfall,Minor-Moderate,"Inaccessibility of places to seek information from e.g market places hence causes delay of the information, The pricing can be affected since you cannot access market places, the middle men take advantange of the small scale farmers/low prices","Sourcing information from fellow farmers and extension officer by word of mouth or phone, Few farmers do value addition of eggs, meat, negotiate directly with the consumer e.g hotel, Hawking of eggs and birds, selling directly to chicken vendors, farm gate selling","Promote market information platforms, promote use of aggregation of chicken and production, promote organized chicken and products marketing, promote use of aggregation stores, strengthen producer organizations, promote bulk selling, promote organized marketing, formation of producer /marketing organizations"
926,Nandi,Indigenous chicken,Market,Very low temperatures,Minor-Moderate,"During very low temperatures people don't travel much hence postponement of sourcing information, Due to low quantities of eggs the pricing tend to be affected i.e low price","Using the phone as source information, negotiate the prices of products, few farmers do value addition i.e boiling eggs to sell (mayai pasua)","Promote use of marketing information platforms e.g whatsapp, facebook e.t.c, Promote aggregation and bulking of eggs and chicken, formation of producer/ marketing organization "
927,Nandi,Indigenous chicken,On farm,Excess rainfall,Moderate-Major,"High cost of brooding due to high cost of sources of heat , increased labour costs due to intensive management, high cost of input i.e feeds due to impassable roads, quality of feeds is compromised since it can be rained on, high feed consumption, low production of eggs","Use of improved brooders e.g chepkkube, insulated carton box, use of selected hens that are good in brooding, Use of small feed meals, use of kitchen left over and vegetation, Few farmers do vaccination, use of herb e.g the concotion from neem leafs, aloevera, eucalyptus, onion and pepper","Upscale use of appropriate brooding technologies such as commercial brooders e.g biogas technologies solar powered brooders, Promote synchronized and serialized hatching, Promote on farm feed formulation especially at community level, Capacity building of farmers on diseases and pest control i.e vaccination, promote mass vaccination at group level, acquisition of vaccines in bulk and storage near farmers"
928,Nandi,Indigenous chicken,On farm,Very low temperatures,Moderate-Severe,"High cost of brooding since more heat is required to increase temperatures, High consumption of feeds, increased amount of feeds hence costly to farmers","Use of improved brooders e.g chepkube, insulated carton boxes, use of good mother hen, Scavenging e.g free range system, use of locally available food e.g kitchen left overs e.g maize and vegetables, Use of concotions prepared from neem, aloevera, eucalyptus, onions and pepper, very few farmers do vaccination","Promote use of green energy for brooding, Promote feed formulation at farm level, use of alternative feed sources e.g use of worms, crickets, bulk acquisition of feeds at group and cooperative level, Promote bulk acquisation of vaccine at group/community land, capacity building of farmers on vaccination"
929,Nandi,Indigenous chicken,Post harvest,Excess rainfall,Minor-Moderate,"Egg production is low due to unfavourable conditions, occurence of sliding and falling cause egg breakages hence losses during transportation, high cost of packaging materials since the farmer would pay for the durable one, the quality of eggs are compromised hence low price","Few laying nests are used, use of baskets and carton boxes for storage and transport, very few farmers use egg trays, the products e.g eggs are sold at the farm gate","Promote use of appropriate location and construction of laying nests, promote use of recommended egg trays, promote aggregation of eggs and birds to access market, promote value addition of chicken and products"
930,Nandi,Indigenous chicken,Post harvest,Very low temperatures,Minor-Severe,"Reduced production due to low temperatures, due to low temperatures the quality of eggs is compromised due to irregular sizes of eggs, job losses among transporters","Very few farmers insulate the poultry houses to provide warm condition (using canvas paper to insulate), Very few farmers use plastic egg trays for packaging, few farmers sort according to size and shape, few farmers do value addition and hawk .eg selling boiled eggs","Promote use of carbohydrates feed sources e.g use of maize meal to increase energy levels of birds for optimal production, Promote use of proper housing structures that can prevent too much cold e.g use of polythene sheets for curtains, Scale up use of recommended egg trays (plastic), Promote grading of eggs based on sizes and shapes for different prices, Promote aggregation and bulk transportation of eggs and chicken"
931,Nandi,Maize,Input supply,Excess rainfall,Moderate,"Delay in acquisition of seeds (poor road networks), spoilage of seeds during transportation, delayed acquisition of fertilizer, spoilage of fertilizer during transportation, delayed acquisition of pesticides and herbicides","Cooperatives acquire seeds and fertlizers for farmers in bulk, Use of (IPM) integrated pest management technology","Upscale number of farmers in cooperatives, promote use of compost/organic manure for small scale farmers, soil testing and analysis, upscale conservation agriculture, promote/upscale IPM"
932,Nandi,Maize,Input supply,Moisture stress,Moderate,"Causes delay in purchasing certified seeds, fertilizers and herbicides","Delay acquisition of certified seeds, selected seed from farm stores, stocking of fertilizers through cooperatives, planting without fertilizers, Delay acquisition of herbicides and insecticides- stocking of herbicides and insecticides through cooperative societies, use of indigeneous technical knowledge by a few farmers","Avail weather information to farmers on a daily basis, stocking of seeds through cooperatives, promote use of organic fertilizers, support  and encourage more farmers to join cooperatives, promote use of ITK to most farmers, encourage conservation agriculture"
933,Nandi,Maize,Market,Excess rainfall,Moderate-Major,"Low prices due to poor quality, difficulty in linking farmers to buyers, affects accesability to storage facilities due to poor road networks, selling delays due to decreased market access and reduced number of buyers","Sorting and grading, selling of produce at available market price, use of light transport means i.e motor bikes, bicycle, selling in bits to hawkers (small scale), use of donkeys, bicycles","Use of tolerant maize varieties, value addition (milling and packaging), aggregation by cooperatives, encourage sorting and grading, improve access roads by regular maintenance, sell through cooperatives, link cooperatives to financial institutions"
934,Nandi,Maize,Market,Moisture stress,Moderate,"Low prices since all farmers need to sell, Farmers are not linked to markets, needs drive farmers to sell independently due to demand for money, difficulty in selling due to oversupply at produce in the market",Accept the prevailing price to get money for essential needs required Traders buy produce on indvidual farms/stores Farmers sell in bits at the prevailing  price,"Cooperatives / farmer groups to form a revolving fund to enable farmers to be paid for amount of produce delivered, warehouse receipt system Encourage farmers to sell through cooperatives which will look for a better market with better price Sell produce through cooperative, warehouse receipt systme"
935,Nandi,Maize,On farm,Excess rainfall,Major,"Delays in land preparation and planning, delays in harvesting, increased rotting","Zero tillage or minimum tillage, hand planting, delay in planting, use of early maturing varieties, delay harvesting, use of ventilated stores, stoking of maize in the field","Promote conservation agriculture, encourage early land preparation, rotation and subsidized cost of operations, avail information on weather forecast to farmers, use of appropriate early maturing varieties, facilitate farmers cooperatives with drivers"
936,Nandi,Maize,On farm,Moisture stress,Moderate-Major,"High cost of land preparations due to insufficient labour supply, high cost of maintenance of farm machinery, delayed planting, poor germination of seeds","Minimize number of operations, zero tillage by a few farmrs, reduced area under maize crop, planting in small portions, dry planting, delayed planting, use of family labor by some households, harvesting in bits","Promote conservation agriculture, facilitate cooperatives to avail services to farmers at subsidized rates, irrigation, planting without fertilizer to minimize seed scorching, weather forecast information to farmers, early harvesting, encourage use of family labour, encourage mechanized labor"
937,Nandi,Maize,Post harvest,Excess rainfall,Major,"Affects and delays transportation due to poor road network, High cost of transportation, Delayed bulking because of high mosture content thus takes an extended drying period, rotting due to increased moisture, decreased quality","Use of animal and human labour, use of collection centers and warehouses, farmers use granaries, smoking","Regular maintenance of road network, timely harvesting at physiological maturity, support farmer cooperatives to build warehouses, facilitate farmer cooperatives with driers, use of solar driers at farm level, use of modern ventilated stores"
938,Nandi,Maize,Post harvest,Moisture stress,Minor-Moderate,"Transportation cost increases since all farmers need transportation, reduced bulking because of high demand by traders, increased infestation of storage pests due to high temperatures","Use of motorbikes, donkeys and bicycles, Aggregating in bits and selling at prevailing price, Use of ITK by small scale farmers, use of chemicals (dusting), few farmers use hermatic bags","Farmers should join or form cooperatives, cooperatives to acquire means of transport for members, Farmer groups/cooperatives to start bulking early in the season to accumulate volumes, Upscale use of hermatic bags, use metallic/plastic silos, improved well ventilated stores"
939,Nandi,Tea,Input supply,Hail storm,Minor-Severe,"Labour- tea plucking activity is lost hence loss of jobs, Tea seedlings acquisition- hail storm destroys seed stands (mother plant)","Off-farm hawking business, buying tea cuttings from non-affected areas, tea processors provide fertilizer through check off","Saving of their income to improve on off-farm business, Construction of shade nets to protect the mother plant form hailstorm, Government to provide subsidized fertilizers to tea farmers, Companies to formulate slow release fertilizer for tea"
940,Nandi,Tea,Input supply,Low temperatures,Moderate-Severe,"Loss of jobs due to frost, Frost destroys seeds stands (mother trees) hence high cost of tea seedlings and also destroys seedlings in the nursery","Off- farm hawiking, insurance, sourcing tea cuttings from non-affected areas, diversification by agrodealers","Saving of income and improving on off farm business, Setting of nurseries in non-frost prone areas and mother tea bushes, Improve on diversification to other farm products"
941,Nandi,Tea,Market,Hail storm,Minor-Moderate,"High cost of packing and branding due to low tea volumes, High cost of transportation due to low volumes","Cut threat coopetition by increasing prices of green tea, Transfer the cost of bulking to tea farmers","Promoting local consumption through ""Build key Buy Kenya"", Processors pulling resources to share on transport cost, Seeking alternative market"
942,Nandi,Tea,Market,Low temperatures,Minor-Moderate,"High cost of packing and branding due to low tea volumes, High cost transport due to low volumes","Reducing personnel involved in doing work, reduce the number of transporters, transfer cost to farmers(reduced bonuses), reducing the staff through pending leaves","Redeployment of staff, bulking, redeployed transport, exploring online marketing"
943,Nandi,Tea,On farm,Hail storm,Moderate-Major,"Planting- high cost of planting operation due to repeat farm operations, Heavy rainfall causes leaching of fertilizers and difficulty in weeding, destruction of tea leaves reduces harvest","Establishment of on-farm nursery, chemical weed control, tea pickers to do off-farm activities to diversify labor activities, pruning of tea bushes","Crop insurance, use of integrated weed management control, mechanized fertilizer application(small scale), crop diversifcation by the farmers, income source diversifaction by pluckers"
944,Nandi,Tea,On farm,Low temperatures,Moderate-Major,"High cost of operation due repeated planting and gapping, Increased growth of weeds, increased use of fertilizer, loss of plucking jobs, reduced yields due to frost","Establishment of onfarm tea nursery, Chemical weed control, Diversification of income sources by pluckers, Removal of tea affected leaves","Crop insurance, Use integrated weed management control by planting indigenous trees along farm bounderies"
945,Nandi,Tea,Post harvest,Hail storm,Major,"Sorting- increased sorting due to increased damage, Increased cost of transport due to reduced tea volumes","Selling of low quality tea to middle men or brokers, Selling to middle men, Laying off some labour","Crop insurance, pruning and applying fertilizer, making of all weather roads to allow use of smaller means of transport, adapting to small and efficient processing equipment"
946,Nandi,Tea,Post harvest,Low temperatures,Moderate,"Increase cost of sorting due to removal of frosted leaves, Increased cost of transport due low tea volumes","The farm boundaries increase cost of sorting, Selling to middlemen, Laying off of some labour","Improved road infrastructure for quick transportation, Making of all weather roads to allow use of smaller means of transport, Redeployment of staff in the factory, Pending leaves and off-days, maintenance of machines"
947,Narok,Cattle (milk),Input supply,Flash floods,Moderate-Severe,"Destruction of pasture fields, affects sourcing of seed, roads and bridges are destroyed, Affects detection of heat, reduce service providers accessibility, increased cost of services and time involved","Timely planting, early flooding warning systems developed, enhance drainage systems on pasture fields, construction of farm ponds to store excess water, Training on good drainage systems to avoid animal stress, innovation of technologies to ensure A.I services provision are not hampered by floods/weather changes, Training and capacity building, policy formulation, involvement of stakeholders in provision of veterinary services","Construction of dykes on low lands and other drainage systems, enhanced agroforestry by use of fodder trees, soil and water construction measures along the slopes, providng A.I equipment provided at village level for easy access, trainings of A.I techniques at village level, subdivided A.I services and information dissemination, intesify training and capacity building of farmers and cooperatives, enhance cooperative governance accountability, improvement of infrastructure i.e have dams, roads etc. enforce rangelands rehabilitation"
948,Narok,Cattle (milk),Input supply,Droughts,Moderate-Severe,"Lack of moisture for feed establishment, lack of feed germination and development, threats to the health condition of an animal, increasing calving intervals, low income farmers do not have money to seek vetenirary services leading to poor production","Provision of pasture seeds, training and disemination of information on climate and weather changes, harvesting and storage of animal feed for dry days, Provision of A.I services (localized to improve access), sensitization on the importance of using A.I services, training of A.I technicians, Provision of effective veterinary services, trainings of emerging diseases","Develop research extension linkagees for more resilient varieties, establish pasture and fodder under irrigation, destocking livestock, intensification of pasture systems, More surveillance on disease and pests, regular disease and pest control, upscale provision of A.I services to reach lowest levels, subsidized A.I services, Provision of effective services- increased veterinary staff, farmers sensitization on emerging diseases, subsidized veterinary services provision"
949,Narok,Cattle (milk),Market,Flash floods,Moderate,"Leads to destruction of advert billboards, reduced market access due to poor roads, low sales for farmers- milk prices drop due to poor market access, for consumers- prices are increased to high cost of production, inability to meet contract agreements, high post harvest losses","Strengthening of cooperatives to enhance product promotion, trainings on promotion of milk and its products, implementation of regulations on milk and its products promotion, ongoing trainings at cooperative level on branding and pricing, formulation of laws and policies to protect milk brand and prices, conducting research and advertisement through social media","Provision of better policies and regulations to enhance milk and milk products promotion to access more lucrative markets, creation of more attractive platforms for milk and its product promotion, more investment in branding equipments, better regulations and policies to protect milk brands from counterfeits, more measures put in place to localize branding, incentives to farmers should be introduced by the cooperative, encourage saving culture by farmers through cooperatives, access to credit, training on how to lobby for resources"
950,Narok,Cattle (milk),Market,Droughts,Moderate-Major,"Low supply of milk, hiking of market prices, low milk quality, lack of employment for youth, fake milk and dilute milk in the market, high cost of branding and production, leads to low production which affects contracts","Trainings on proper product marketing options, certification of brands, registration of brands, trainings on branding and pricing analysis, training on market trends, increased competition in marketing, developing farmer buyer linkages through stakeholders, formation of cooperatives for better linkages, bench making to other traders and processors","Enhance production across regional markets, production of daily premiums products, strengthen cooperatives to enhance product promotion, more trainings to farmers on marketing and pricing of milk products, enforce dairy development policy in the county, strengthen cooperatives to enhance linkages, benchmarking for new markets, enforce school feeding programme using locally sourced milk"
951,Narok,Cattle (milk),On farm,Flash floods,Moderate-Major,"Leads to destruction of infrastructure i.e stores, roads, pasture fields, increased cost of raw materials for feed formulation, reduced access to veterinary services due to destruction of infrastructure like roads, bridges, cattle dips, affects strategic deworming regimes, outbreak of respiratory diseases like pneumonia, CBPP and lungworm infestations","Feed formulation trainings, taking technical advice from relevant institutions, linkage to innovation plans and A.I services from extension officers, capacity building on A.I services by farmers and on best vaccine in the market, early warning outbreak of diseases, quarantine","Bulk sourcing of feed formulation raw materials for cheaper feed production, upscale training of farmers on feed formulation locally, production of quality feeds, construction of modern animal feed stores, train more farmers on more advanced heat detection methods, improved breeds that are tolerant to flash flood prone areas, intensify production systems of dairy cattle, enforce disease control and management, use of more effective vaccines, diseases surveillance, introduce cold drains at wards levels, linkages with the stakeholders like  kevevapi, importers and drugs and vaccines sellers"
952,Narok,Cattle (milk),On farm,Droughts,Moderate-Severe,"Leads to low supply of raw materials for feed formulation and pasture development, leads to poor conception rate, lack of resources for insemination services sourcing, leads to delayed heat, leads to weak animals, an outbreak of tick borne diseases and expensive services","Timely planting of pastures, trainings on feed formulation and pasture development, holistic on range management and rehabilitation, efficient utilization of feed, training of farmers on heat detection, linkages of farmers to machine, training on use of TMR (total mix ration) for feed utilization, capacity building on proper animal husbandry, policy formulation on subsidized inputs, stakeholders engagement and involvement","Establishment of protein rich feeds to supplement grass, establishment of drought resistant varieties of pasture, diversification of sources of feed for animals, enhanced training on heat detection in animals, training AI technicians to reach more farmers, construction and rehabilitation of cattle dips, provision of more effective acaricides, control of agrovet products to avoid counterfeits"
953,Narok,Cattle (milk),Post harvest,Flash floods,Moderate-Major,"Leads to increased post harvest losses due to delayed milk delivery, leads to contamination of clean water sources, poor transportation and handling, leads to delayed milk delivery to processing plants hence increase post harvest losses, affect linkages to the market, poor feed storage leads to mold which compromises feed quality, destruction of feed storage infrastructure","Construction of safe/flood free milking pens/houses, construction of passable roads with proper drainage systems to allow ease of milk transportation, training of farmers on hygienic handling of milk and its products, implementation of coolers to every farmer/ by farmers, milk collection centers established, capacity  building farmers on TMR, securing grants from partners for feed storage facilties","Enhanced surveillance to ensure milk transplating and handling regulations are fully implemented, more processing plants and coolers put up to reduce time involved in milk handling, more training done to enable farmers improve hygienic standards at farm level, construction of milk processing plants, diversify dairy products by acquiring processing machinery, proposal writing for funds request, linkage for international grants, educate farmers to use locally available materials for simple storage facility construction, giving grants to farmers to construct storage facilities, train farmers on feed preparation and storage"
954,Narok,Cattle (milk),Post harvest,Droughts,Major-Severe,"Reduced sanitation due to lack of enough clean water, leads to low volumes of milk supply, increased production cost, loss of jobs due to lack of enough milk for processing, low supply of feeds for storage and underutilization of feed storage facilities, animals can experience feed poisoning as less feed is available","Training on hygienic handling of milk right from milking sheds to the consumer, use of clear jerricans in milk handling and transporting, use of coolers to preserve milk, small scale value addition, use of coolers to store milk bulking, major milk processing done out of the county, construction of hay and barns, silage making technology, strategic feed storage reserves at the cooperative level","Promote the use of aluminium milk containers and maxi cans from farm level to processors, imposing milk handling and safety measures, provision of subsidized modern milk handling equipment, avail milk testing reagents and kits at farm level, community owned milk processing plant, strengthening cooperatives societies, stakeholder involvement, promote cottage industries, upscale strategic feed stores, mechanization of feed storage to enhance efficiency, train farmers on TMR, establish feeding structures to minimize losses"
955,Narok,Local chicken,Input supply,Excess rainfall,Severe,"There might be low sourcing of chicks due to impassable roads, fear of sourcing chicks due to extreme colds, Production of chicken feeds will be affected by heavy rains because of reduced working hours, Delivery of feeds to farmers will be difficult due to impassable earth roads, chicken housing wood decays","Hatch own chicks or source from neghbours, Use of available poultry feeds e.g left overs, vegetables and grains, The farmer can use donkey carts to transport chicken and its products to market, use of locally available materials","Improve infrastructure e.g construction of all weather roads, Buy surplus chicken feed and store for future use, construction of good poultry houses during the dry season"
956,Narok,Local chicken,Input supply,Droughts,Moderate-Severe,"The chicks will be few and expensive due to unvailability of feeds, reduced supply of chicken feeds, the feeds become expensive, increased prices for construction materials like timber","Adapting from local chicken to improved breeds, hatching own eggs at the househod level rather than purchasing the chicks, utilizing advisory services from ASDSP, practising free range poultry rearing, giving chicken available feeds, use of alternative construction materials that are less costly e.g iron sheets, wire mesh, consulting extension services on housing","Use of incubators, Purchase the chicken feeds during harvesting season and store for future use in dry season"
957,Narok,Local chicken,Market,Excess rainfall,Minor-Severe,"Farmers reduce market prices to minimize losses due to product spoilage e.g broken eggs, Reduced interaction between farmers and buyers due to bad weather, reduced sales due to poor road conditions and bad weather","Farmers are producing manageble products so as to reduce the rate of spoilage, Farmers are forming groups which increases linking with buyers, The farmer to supply what they can manage to carry, they can also sell to neighbouring markets","Look for ready made market to sell produce, form cooperatives to collect and sell products from farmers, formation of SACCOs to avoid fluctuation and uncontrolled prices, Improving feeder roads pathway so as to reach market easily, online advertisement and sales"
958,Narok,Local chicken,Market,Droughts,Moderate-Major,"There will be low supply of chicken, eggs and by products hence increased demand and prices, Reduced linkage between farmers and buyers due to reduction in chicken production caused by lack of feeds","Sourcing from neighbouring farms and advertise through sign posts, out sourcing of eggs from farm gate so as to ensure there is a continued supply to traders","Sourcing markets online by use of social media platforms, diversifying local chicken to improved kienyeji which lays eggs that never hatch, interbreeding to get F1 and F2 breeds"
