ID,County,Value chain,Value chain stage,Key activities,Who is involved,Input supply (key activities importance),Input supply (key activities location in the country)
1039,Kisii,Indigenous vegetables,On farm production,Crop management- weeding and spraying for pest and diseases management; harvesting,"Farmers, research scientists and agricultural extension officers","Reduce competition for nutrients, increase productivity",Countywide
1040,Kisii,Local chicken,On farm production,Provision of housing,Farmers,Provides protection and security to birds; controls bird movement,Farm level
1041,Kitui,Mangoes,On farm production,"Crop management (crop protection, weeding, spraying)","Farmers, technical officers, relevant stakeholders","Best quality and quantity mangoes production, minimal losses","Farm level, demonstration site"
1042,Kitui,Green grams,On farm production,Harvesting,Farmers,To harvest produce,On farm -all the subcounties
1043,Kitui,Local chicken,On farm production,Brooding,women,Production of offspring,Countywide
1044,Kitui,Goat,On farm production,"Animal husbandry practices e.g deworming, branding, tagging",Farmers and family members,Well being and for maximum production,All eight subcounties apart from urban settlement
1045,Migori,Sweet potatoes,On farm production,Harvesting,"Men, women and youth",Its key in obtaining the final produce for consumption or sale,All subcounties where sweet potatoes are produced
1046,Migori,Local vegetables,On farm production,Harvesting,Farm -families and hired labour,For household consumption and marketing,Farmlands across the county
1047,Migori,Local chicken,On farm production,Diseases and pest control,"farmers, traders and agrovets","to produce disease free birds, reduce mortality rate and have quality birds",Countywide
1048,Migori,Goat (meat),On farm production,Deworming,"Farmers, agrovets/suppliers, extension officers and veterinary officers",Control diseases and increases production,County
1049,Murang'a,Local chicken,On farm production,Deworming,Extension officers,"to prevent loss of chicks, for healthy chicks",On farms
1050,Murang'a,Cattle (milk),On farm production,Breeding,Farmer and A.I provider,Good breeding stock and high quality milk,On farms
1051,Murang'a,Banana,On farm production,Land preparation,"Farmers, casuals labours, machine operators, technical people",Preparation for planting,On the farms
1052,Murang'a,Avocado,On farm production,Pest and diseases management,Farmers and extension services providers,To achieve quality and quantity of produce demanded by the market,Coffee and tea zones
1053,Nandi,Indigenous chicken,On farm production,Vaccination,"Vet, farmers, agrodealers, transport",to boost immune of the birds hence reduce mortality rate,Farms
1054,Nandi,Cattle (milk),On farm production,Animal health,"Farmers, animals health services providers e.g producer organizations, vet officers","To minimize diseases incidences and spread on the cows, to prevent losses of animals",Farm level
1055,Nandi,Tea,On farm production,tea plucking,"farmers, casual labour, machine harvester",To get the right quality and quantity yield,farm
1056,Narok,Sheep (meat),On farm production,Feeding,"Farmers, vet, government, donors","Proper growth and development, improve production and sustainability",All sub counties
1057,Narok,Maize,On farm production,Crop husbandry,"Men, women and youth",Disease and pest control,On farms all over the county
1058,Narok,Local chicken,On farm production,Vaccination,men and youth,To prevent cocsidiasis and other poultry diseases,across the county at household level
1059,Narok,Cattle (milk),On farm production,"Vaccination, spraying and deworming","Farmers, herders",Tick/pest and diseases control,"Farm level, local, agrovets, through campagmi"
1060,Nyamira,Local chicken,On farm production,Feeding,"Farmers, agrovets, extension officers","For growth, maintainance and production",Farm level/ households
1061,Nyamira,Local vegetables,On farm production,Harvesting,"Farmers, hired labour, technical personel",for continued quality and quantity production,all over the county
1062,Nyamira,Cattle (milk),On farm production,Disease control,Farmers and extension services providers,improved animal healty,all over the county
1063,Nyamira,Banana,On farm production,Harvesting,Farmers,"Minimize damages to assure quality produce, deliver a desired product to the market",On farms across the county
1064,Samburu,Local chicken,On farm production,Vaccination,Farmers and veterinary specialists,"Prevention of diseases, treatment of local chicken for optimum production",Countywide
1065,Samburu,Cattle (meat),On farm production,Spraying,Farmers,To control external parasites,On farms
1066,Samburu,Apiculture,On farm production,Harvesting,men and youth,To generate honey and income,at the apiary
1067,Samburu,Shoats,On farm production,Vaccination oand routine treatment,"Farmers, veterinary officers, NGOs, county government","To improve/boost immune system, to prevent outbreak of diseases, to improve production",Entire county at desginated vaccination sites
1068,Transnzoia,Maize,On farm production,Harvesting (Stooking/Dehusting),"Farmers, labourers,and transporters",To consolidate the produce when ready,Farms
1069,Transnzoia,Indigenous chicken,On farm production,"Practise biosecurity- food baths, vaccination, admnistering treatments/suppliments, and cleaning and fumigation","Women(very high), youth (high), and men (very low)","Disease and pest control, ensure quality full term growth, and avoid losses through mortality",On farm-levels in all subcounties
1070,Transnzoia,Cattle (milk),On farm production,Milking,Farmer and workers,Economic activity to sustain the enterprice,At the farm county wide
1071,Transnzoia,Beans,On farm production,Harvesting,"Men, women and youth",To collect the matured produce from farm,Rural and urban farms
1072,Turkana,Sorghum,On farm production,Harvesting,Farmers and Government,To enable processing and reduce post-harvest losses,Irrigation schemes and rain fed farms
1073,Turkana,Shoats,On farm production,Vaccination,Government and development partners,Prevention of livestock diseases e.g PPR,Countywide
1074,Turkana,Local poultry,On farm production,Housing,Men,Protection of chicken,Households
1075,Turkana,Fisheries,On farm production,Harvesting,Fisher men/women,Helps producers extract fish from the lake ready for processing,Lake shore
1076,Vihiga,Indigenous chicken,On farm production,Hygiene/cleanliness/ cleaning,Farmers and hired labor,prevention of communicable diseases/ disease control,On farms
1077,Vihiga,Cattle (milk),On farm production,Artificial insemination,"farm, generic resource centers, lincensed semen distributors","Quality breeds that are of high milk production, and disease tolerant","Farm, genetic resource centers, semen distributors"
1078,Vihiga,Banana,On farm production,"Weeding, pest and disease management","farmer, extension officers, agrodealers, researchers","Increased productivity, for disease control","on farm, agrodealers, research centers"
1079,Vihiga,African indigenous vegetables,On farm production,aggregation,"traders,service providers","to meet the market demands, to make profits","Collection centers, market outlets"
1080,Embu,Beans,On farm production,Harvesting,"farmers and casual laborers,transporters",picking and collection of mature produced prepare for storage and marketing,on the farms and normal shops
1081,Meru,Banana,On farm production,pests and diseases control(spraying),"farmers and family,casual laborers,agro chemical companies","better yields,comtrol of diseases,improve quality and quantity","farm level,training centres e. kaguru,baraza"
1082,Meru,Irish Potatoes,On farm production,Harvesting,"farmers and casual laborers,service providers","to determine the yields,to minimize losses,to enable grading and sorting","buuri subcounty,meru central sub county"
1083,Kilifi,Cassava,On farm production,Spraying,"Farmer, hired labour",Control pests and diseases,Farms
1084,Meru,Banana,On farm production,weeding,"farmers and family,casual laborers","better yields,control/manage the weeds,ease other operations on the farm",farm level
1085,Kilifi,Cassava,On farm production,Harvesting,"Farmer, hired labour",Food security and income,Farms
1086,Busia,Cassava,Post harvest,Transportation,"farmers,hired transport-bicycles,lorries","to reach the markets in time-to win more consumers,product reaches the market on good quality","market places-budalangi,funyula,amukkara,malaba"
1087,Busia,Local Poultry (meat),Post harvest,collection of chicken,"farmers and bodabodas,traders and groups",for easy accessibility of the birds for marketing purposes hence reducing transport costs and enhance power for better prices,"common in hakati,busia,bunyala,burumba"
1088,Busia,Maize,Post harvest,Transportation,boda boda,for security purposes,"bunyala,teso north,butula,"
1089,Busia,Sorghum,Post harvest,Processing,"farmers,millers and hired labor","to fetch higher prices,to increase shelf life",Countywide
1090,Nyeri,Banana,Post harvest,harvest(tools/technical layer,"farmers,marketing agents,buyers and cooperative societies","post harvest losses reduction,improved prices",
1091,Nyeri,Dairy cow,Post harvest,clean production and handling,farmers and extension officers,"to extend the shelf life of milk,ensure high quality products,enhanced consumer health",sub county and ward levels
1092,Nyeri,Irish Potatoes,Post harvest,Storage,Farmers,to wait for favourable prices,"kieni east and west,mathira west"
1093,Nyeri,Local poultry,Post harvest,Storage,Farmers,"await delivery to the market,increase shelf life",Farm level
1094,Makueni,Dairy cow,Post harvest,Storing,"farmers,milkbar attendants","the farmers  stores it awaiting transportation to bulking centre,for preservation purposes look for market",All over the county
1095,Makueni,Green grams,Post harvest,threshing and winnowing,farmers and farmlands,separating grains from chaff,"farm levels,household levels"
1096,Makueni,Local poultry,Post harvest,Collection,farmers and service providers,for aggregation of markets,Countywide
1097,Makueni,Mango,Post harvest,Collection,the buyers/the exporters,for bulking purposes and transport,Across the county
1098,Nakuru,Dairy cow,Post harvest,Storing,"farmers,local cooperatives",for quality and value,"farm level,designated trading centres"
1099,Nakuru,Irish Potatoes,Post harvest,Sorting and grading,farmer(women and youth),"to ensure right quality,ensure better pricing,ensure standardisation for niche markets","farm level, warehouse"
1100,Nakuru,Local poultry,Post harvest,Slaughtering,men,Value addition,"across the county, on farm/slaughterhouse"
1101,Nakuru,Maize,Post harvest,"Processing-shelling,sorting,drying,grading and packaging",men,to ensure quality maize,on farm throughout the county
1102,Taita Taveta,Banana,Post harvest,Bulking,"farmers,cooperatives,grader","price negotiation,weighing,packing",The entire county
1103,Taita Taveta,Dairy cow,Post harvest,Transporting,farmers and transporters,to teach the bulikg centres and consumers and processors,The entire county
1104,Taita Taveta,Maize,Post harvest,Transporting,farmers and transporters,reduce postharvest losses,county wide(farm specific)
1105,Taita Taveta,Goat (meat),Post harvest,training of meat processing assisstant on meat cutting and hygiene,"meat traininmg institute,athi river,jkuat or else where to be identified and county government",local tourist markets and high nniche markets demnd meats in cuts of high level and hygiene,voi sub county at the meat goat centre
1106,Siaya,Beans,Post harvest,Sorting and grading,farmers and hired hands,"improve product quality,increase economic value",on farm in the entire county
1107,Siaya,Sorghum,Post harvest,Collection,Farmers,to secure produce from on farm loss,
1108,Siaya,Maize,Post harvest,Storing,"farmers,NCPB",longates shelf-life for future use,"Household level,NCPB stores-Yala,Bondo,Ugunja"
1109,Siaya,Local poultry,Post harvest,Slaughtering,farmers and service providers,"prevent disease transmission between humans,value addition","on farm,hotels"
1110,Embu,Banana,Post harvest,Collection,Farmers,bulking to produce to a central collection/grading centre,farm and collection centres
1111,Embu,Beans,Post harvest,Sorting,farmers and casual workers,to remove the broken or damaged to get the quality produced,"in the farms,collection centres/buyers"
1112,Embu,Dairy cow,Post harvest,milk bulking and transportation,"farmers,societies(coop),transporters KCC,brookside","to avoid losses, to generate income,to reach the consumer","on farm,local market"
1113,Embu,Maize,Post harvest,Transportation,farmers and buyers,"for marketing prices to sell,farmers transport maize from farms to households","from farms to local markets,from farms to residential places,from homesteads(farmers) to posho mills"
1114,Nyandarua,Dairy cow,Post harvest,Collection,Farmers,avails the product to the market,collection points(collection shades on the roadsides
1115,Nyandarua,Irish Potatoes,Post harvest,packaging,"agrodealers who sell packaging materials, men especially young adults,farmers both genders",to make transportation easier,throughout the county on the farms and collection centres
1116,Nyandarua,Local chicken,Post harvest,collection of products(eggs),,family members and laborers,on farm collection of products-across the county
1117,Nyandarua,Peas,Post harvest,Sorting and grading,farmers/laborers from both genders,to presentgood quality produce to the market,"on farm,grading sheds"
1118,Meru,Banana,Post harvest,packaging,"farmer,buyer",ensuring quality during transportation,"in designated collection centres,at the farm level"
1119,Meru,Dairy cow,Post harvest,Bulking and storage,"farmers and dairy societies,private vendors,dairy boards/public health","storage for easy transportation,economies of scale, preservation,traceability","milk collection centres,farm level,cooling plants"
1120,Meru,Maize,Post harvest,Drying,"farmers and family,casual laborers,mechanised service providers","control of aflatoxins,control of pests,maintain quality,proper rating","farm level,GoK Cereal board,Private service providers"
1121,Meru,Irish Potatoes,Post harvest,Sorting and grading,"farmers,casuals,mechanised services","to enhance uniformity,quality and standardiastion, to meet specific traders specifications",buuri and meru central subcounties
1122,Garissa,Milk (Cattle/Goats),Post harvest,"boiling and cooling milk, bulking, collection",pastoralists(women),"minimise spoilage and alongside shelf life, kills germs,storage and bulking.","HH level, groups at market,county wide."
1123,Garissa,Meat,Post harvest,meat hygiene,"slaughter house personnel, veterinary officer","reducing food borne infections due to meat,increased shelf life of meat","Garissa slaughter house, other slaughter houses,slabs in sub counties"
1124,Garissa,Fruits and Vegetables,Post harvest,Processing,"farmers, technical officers, buyers",very important,"farm level, market centres"
1125,Garissa,Cereals,Post harvest,Processing,"individual farmers, millers","value addition, ready for utilisation","on farm, county wide"
1126,Homabay,Beans,Post harvest,Threshing and winnowing and sorting,Farmers,"it is the mandatory process for the utilisation of beans,add value to the produce",On farm
1127,Homabay,Maize,Post harvest,Transportation,farmers and business community,the crop is transported from the field tpo the right storage,from farmers field to farmers stores
1128,Homabay,Aquaculture (fish),Post harvest,Storing,"farmers ,fishermen and traders,government,cooperatives",to keep the fish fresh,in all the eight sub counties
1129,Homabay,Local poultry,Post harvest,Sorting,Farmers,for pricing,The entire county
1130,West Pokot,Maize,Post harvest,Storing,"Farmers, NCPB,Traders","To avoid postharvest loss, to add value to the crop, to sell when prices increase","Farmers stores, NCPB at Makutano and sigor, Traders, stores (Makutano, Chepareria,ortum,sigor,kabichbich)"
1131,West Pokot,Goats,Post harvest,Transportation,"Individual owners, middle men",Help in moving the goats to the market place,"North pokot-konyao,Central pokot-Lomut, West pokot-kishaunet, South pokot-chepareia"
1132,West Pokot,Cattle (milk),Post harvest,Collection,"farmer,societies(farmer organisation)",Ease of marketing,"Kapenguria,Lelan,Tapach"
1133,West Pokot,Bulb onions,Post harvest,Storing,"Household,cooperative,broker(middlemen)","Control of prices,preservation,postharvest care","General farm levels, cooperative stores, CIGs stores"
1134,Kwale,Local Poultry (meat),Post harvest,Inspection(quality assurance),"Farmers, veterinary officer",Quality asssurance,Farm level
1135,Kwale,Maize,Post harvest,Drying,Farmers,To avoid diseasesi.e aflatoxin,In every farm
1136,Kwale,Goat (meat),Post harvest,Transportation,Transporters and veterinary personnel(issuance movement permit),To deliver to the market ad slaughterhouse,The whole county
1137,Kwale,Cowpeas,Post harvest,Processing,Local community,"Pod separation e.g winning, to collect a pure seed, free from contamination",Countywide
1138,Tana River,Mango,Post harvest,Collection,"Hired labor, individual farmers",Easening transport to market,"Zonal Village/colection centres/points ,we have 94 colection centres across the county"
1139,Tana River,Maize,Post harvest,Storing,Farmers,"For safety, Price negotiation, for easy collection and delivery",All farming areas in the county
1140,Tana River,Green grams,Post harvest,Storing,Farmers,Very important-it will help preserve the nature of the produce before market.,At farm level in the entire county where crop farming is done
1141,Tana River,Goat (meat),Post harvest,Collection,"Farmers, cooperatives, Groups","ease of transportation, marketing, reduce time wastage",Market centres(LMAs) Farm
1142,Kilifi,Dairy cow/ goat,Post harvest,Storage,"Farmer,dairy groups-cooling centres","Preservation,bulking","Cooling centre,on farm"
1143,Kilifi,Cassava,Post harvest,"Processing,chipping,drying,milling","Farmer factories,cooperatoive(RIMATO), Farmer groups",Value addition,"Within county, TEZO(ADC)"
1144,Kilifi,African Bird eye chilli,Post harvest,Harvesting/storage,Farmers,To take the product to the market to earn their income as per production,Farm level
1145,Baringo,Dairy cow,Post harvest,Bulking,Farmers,Easy transportation,"High productive sub counties e.g Koibatek, Mogotio, Baringo North"
1146,Baringo,Maize,Post harvest,Crop harvesting,Farmers,Ensure it minimizes crop losses. Harvested at right physiological stage. Right moisture content,Countywide
1147,Baringo,Goat (meat),Post harvest,Collection/bulking,Owner and buyers,Centralize buying points to minimize hawking for goats,"Marigat auction, Emining auction, Majimoto auction, Kapterar auction, Nginyong auction"
1148,Baringo,Indigenous chicken,Post harvest,Market research,"Farmer, extension officers",To identify customer needs so as to satisfy the customer. To maximize profit,"Within and outside the county, plus international"
1149,Bomet,Banana,Post harvest,Storing,"Farmers, Retailers/wholesalers, Technical staff",To maintain quality,"Onfarm, collection centres, across the county"
1150,Bomet,Irish Potatoes,Post harvest,Transportation,"Farmers, buyers",To take the produce to the store/market. Proper transport reduces incidences of damage and poor harvest losses,Readily available
1151,Bomet,Local chicken,Post harvest,Storing,"Farmers, Farmer groups, vendors",To maintain quality of the stock. To ensure proper breeding. To improve marketting terms,"Whole county (onfarm), Farm level/groups, Market centres, Cooperative societies"
1152,Bomet,Sweet potatoes,Post harvest,Collection,"Farmers, county cooperatives, MoA",To deliver inputs to the farm,"Bulking plots, KALRO, MoA"
1153,Elgeyo Marakwet,Beans,Post harvest,Harvesting(Uprooting),"Service providers, farmers",It is important for processing to begin and avoid field losses,Farm level the entire county
1154,Elgeyo Marakwet,Irish Potatoes,Post harvest,Harvesting,"Service providers, farmers","To get the produce for the market, The potatoes have reached maturity stage, To prepare the land for the next crop, To get the seeds",At the farm
1155,Elgeyo Marakwet,Local chicken,Post harvest,Egg collection and storage,Farmers,Marketing and preservation,At the farm
1156,Elgeyo Marakwet,Cattle (milk),Post harvest,Milking by hand or machine,"Service providers, Suppliers, Farmers, Processors (Amiran and G-north)",For consumption and sales,At farm level
1157,Isiolo,Local chicken,Post harvest,Collection of eggs,"Farmers are involved (large scale),",The activity is important quality control,The activity is located in every ward
1158,Isiolo,Green grams,Post harvest,Storing,"Service providers (extension advice), Farmers, retailers",The activity is important in preservation of produce and timing of high prices,The activity is located in every ward
1159,Isiolo,Goat (meat),Post harvest,Selection for sale and grading,"Service providers, suppliers, farmers",,"The activity is located in every Merti, Garbatulla, Oldonyiro and other rural areas"
1160,Isiolo,Camel (milk),Post harvest,Processing,"Service providers, suppliers , Farmers, retailers, processors",The activity is important in value addition and generating income,In every ward
1161,Kajiado,Cattle (milk),Post harvest,Milk value addition,Farmers,"Increase value and income, Job creation","Country wide-Loitoktok, Namanga, Ngong, Kitengela, Kajiado, Kiserian"
1162,Kajiado,Cattle (meat),Post harvest,Transporting (the animal from farm to slaughter house),Farmers,Ensure the product reaches the market,Across the county
1163,Kajiado,Tomatoes,Post harvest,Harvesting,Farmers,Picking of ripe and ready tomatoes for the market,"Farms-Kimana, Rombo, Namelak, Mashuru, Isinya, Magadi, Namanga"
1164,Kajiado,Goat (meat),Post harvest,Livestock trading,"Service providers, suppliers, farmers, , wholesalers/retailers",To increase profitability. To reduce middlemen. To understand the taxation regime e.g permits. Formation of livestock associations for marketing,Across Kajiado County in designated primary and secondary livestock markets
1165,Kakamega,Local vegetables,Post harvest,Sorting,Farmers,To improve quality and longevity of product,On farms across the county
1166,Kakamega,Maize,Post harvest,Collection and storage,Farmers,For safety of produce,On farms across the county
1167,Kakamega,Dairy cow,Post harvest,Milk/calf handling,"Farmers, Vet officers",It determines the quality of milk.calf that will be supplied to the market,On farm in Kakamega county
1168,Kakamega,Local chicken,Post harvest,Collection,"Farmers, transporters, Traders",Reduces costs on individual transportation. In preparation for processing,"On farm, buying centres, collection centres"
1169,Kericho,Local vegetables,Post harvest,Collection,"service providers, suppliers, farmers, retailers","To facilitate access to delivery, to get enough for sale","farm level, throughout the county"
1170,Kericho,Local chicken,Post harvest,Collection and grading of eggs,"Service providers, farmers",To enable marketing of the product,Farm level
1171,Kericho,Banana,Post harvest,Harvesting,"Service providers, farmers","Farmers-large scale, wholesalers/retailers-to reach the consumers and buyers","Ainamoi ward, cheplanget wards, kiptere wards"
1172,Kericho,Tea,Post harvest,Collection,"Service providers, farmers","ensure quality of fresh green leaf(sorting),weighing of the harvest","Buying centres-all sub counties, weighing centres-finlays,unilever company"
1173,Kisumu,Cassava,Post harvest,Storage,"farmers, wholesalers/retailers","moderate price,preservation",Across the county
1174,Kisumu,Local chicken,Post harvest,Processing,"Service providers, farmers",for value addition,at farm level across the county
1175,Kisumu,Cowpeas,Post harvest,Collection,"Service providers, suppliers, farmers",we collect the product for safety,"Nyando,Nyakach and parts of Muhoroni sub counties"
1176,Kisumu,Sorghum,Post harvest,Processing,"Service providers, farmers, processors",improve the quality of the product,Homesteads
1177,Laikipia,Indigenous chicken,Post harvest,Grading of chicken,"Service providers, Suppliers, Farmers, Processors",To provide a new breeding stock. To acquire quality breeding stock,Countywide
1178,Laikipia,Cattle (milk),Post harvest,Bulking,"Service providers, Suppliers, Farmers, Processors",To be more affected and bringing milk together and cost sharing,Marketing group and cooperative societies all over the county
1179,Laikipia,Maize,Post harvest,Shelling,"Service providers, Suppliers, Farmers, Processors","Increasing the storage space reduces infestation of insects, bacteria and fungi",Laikipia West
1180,Laikipia,Sheep,Post harvest,Flattening of flock,"Service providers, Suppliers, Farmers, Processors, Wholesalers/retailers",To fetch good prices in the market,Countywide
1181,Lamu,Fish,Post harvest,"On board processing of harvested fish (gutting, chilling, bleeding, head cutting)",Fishermen,Fishermen,On board fishing vessels
1182,Lamu,Cotton,Post harvest,Processing (Sorting/grading),"Individual farmers, labourers, extension staff, Farmer based groups",Ensure hire quality of lint,
1183,Lamu,Indigenous chicken,Post harvest,Collection and sorting of birds and eggs,"Farmers, buyers/traders/middlemen, labourers",Important for selecting right product for market and facilitate marketing,"On farm, homestead, markets/trading centres"
1184,Lamu,Cashew nuts,Post harvest,Collection,"Farmers, extension service provicers, casual labourers, transport service providers",To avoid on farm losses. To bring the produce to the market,Across the market
1185,Machakos,Pigeon peas,Post harvest,Harvesting,"Service providers, farmers",Optimize production and quality maintenance,Countywide
1186,Machakos,Mango,Post harvest,Processing,"Service providers, farmers","To ensure proper handling, minimize losses and value addition",Mwala sub-county
1187,Machakos,Indigenous chicken,Post harvest,Selection and collection,"Service providers, farmers",Profit maximization,County wide at the farm
1188,Machakos,Green grams,Post harvest,Harvesting,"Service providers, farmers",Aggregating the yields quality and quantity,"Masinga sub-county, Yatta sub-county, Mwala sub-county, Kangundo sub-county. Lowers zones of Machakos sub-county"
1189,Mandera,Sorghum,Post harvest,Harvesting,"Women, men, children, youth labourers",To collect food from the farmer for household consumption. To avoid post-harvest losses. To open the land for the next crop season,"Takaba, Banissa, Kutulu, Fino, lafey, Shambir Fatuma, Finsharo, Wagudud, Burudurasi, Gither"
1190,Mandera,Tomatoes,Post harvest,Transporting,"Donkey carts, motor cycles, nissan, farmers, business people",Facilities the produce to the market,"From the farm to the market areas in urban centres (Mandera, Takaba, Rhamu, Lafey, Banissa, Elwack)"
1191,Mandera,Goat (meat),Post harvest,Selection,Farmers and traders,Preserve the breeding stock. Do valuation,"Farm level, Livestock market"
1192,Mandera,Camel (milk),Post harvest,Storing and preserving,Farmers,To keep save of the product and reach savely in the market. Maintein quality,In the farm level. In the whole county
1193,Marsabit,Kales,Post harvest,Post-harvest handling,"Service providers, Suppliers, Farmers, Processors",To avoid post-harvest losses,Sub-county wide
1194,Marsabit,Teff,Post harvest,Processing,"Service providers, suppliers, farmers",For the final consumption of the product,"Saku, North hoor, Moyale"
1195,Marsabit,Goat (meat),Post harvest,Bulking,"Service providers, suppliers, farmers",Off take,The entire county
1196,Marsabit,Fish,Post harvest,Gutting,"Service providers, Suppliers, Farmers, Processors",Hygiene and quality control,"Loiangalam, Illiret, Elmolo, Moile, Siricho, Marti"
1197,Tharaka  Nithi,Green grams,Post harvest,Drying of green grams pods,"Service providers, suppliers, farmers",For easy threshing,In all harvested areas
1198,Tharaka  Nithi,Local chicken,Post harvest,Slaughtering,"Farmers, Processors, Wholesalers/Retailers",Ensure good hygiene,In individual farms and organised groups
1199,Tharaka  Nithi,Goat (meat),Post harvest,Transporting,"Service providers, suppliers, farmers",To reduce strain and time loses. The economies of skills. To benefits from transport insurance cover,From household to the livestock centre. From the market centre to slaughter houses
1200,Tharaka  Nithi,Cattle (milk),Post harvest,Determination of milk quality,"Service providers, suppliers, farmers","Quality determines market value, safety and price",Farm level and collection centres
1201,Uasin Gishu,Irish Potatoes,Post harvest,Dehulming,Farmers,For good storage and better seeds,On farm
1202,Uasin Gishu,Local chicken,Post harvest,Selection of chicken for breeding,Farmers,Increased production,Farm level
1203,Uasin Gishu,Maize,Post harvest,Harvesting,Farmers,Reduce post harvest losses,Farm level
1204,Uasin Gishu,Dairy cow,Post harvest,Processing,Farmers,To increase the milk shelf life and also add value to the milk,"Farmers cooperatives, Individual and large scale farmers, Milk processors"
1205,Wajir,Camel (milk),Post harvest,Collection/bulking,"Individual farmers, Farmer groups, Wagalla milk traders",Improved volumes,Countywide; along major routes to Wajir town
1206,Wajir,Chicken,Post harvest,Collection and transportation,"Individuals, youth and women groups, Small sacle traders(retailers and wholesalers)",This is the primary source of raw chicken to the market. A source of income,"Countywide (All the subcounties i.e Buna, Bute, Habaswan, Wajir west, Tarbaj, Wajir south, Wajir East)"
1207,Wajir,Sorghum,Post harvest,Transportation,Farm family. Traders,To reach market,Countywide
1208,Wajir,Water melon,Post harvest,Storing,Farmers,Increase shelflife,In the farms after harvest and at the market
1209,Bungoma,Maize,Post harvest,Threshing,Farmers- Youth and women; Machines- youth and men,Improves quality of maize and improves storability (reduces bulkiness),Homesteads
1210,Bungoma,Local chicken,Post harvest,Transportation,"Farmers, buyers, and transportrers",Accessing point of sale/consumption,From farm to processors and to consumers
1211,Bungoma,Cattle (milk),Post harvest,Storage of feeds,"Men, women and youth",For feed preservation,Farms
1212,Bungoma,Beans,Post harvest,Drying and threshing and winnowing,"Farmers, and hired labours",To maintain quality and quantity of the achieved yield,Farms
1213,Kiambu,Banana,Post harvest,Transportation,producer and marketer,to preserve quality and prevent post harvest losses,All sub counties
1214,Kiambu,Cattle (milk),Post harvest,Quality control,The farmer and milk collection clerks,Milk is a perishable good and hygiene is important from milking to the processing of the final product,on farm upto consumer
1215,Kiambu,Irish Potatoes,Post harvest,Processing (Sorting and grading),,Helps in marketing,within the county and neighbouring urban centers and counties
1216,Kiambu,Local chicken,Post harvest,Collection,youth and women,to maintain  quality eggs and prevent breakage,household and collection center
1217,Kirinyaga,Tomatoes,Post harvest,Sorting and grading,"Farmers, graders, buyers, casuals","Quality of produce, longevity of produce, help in pricing and determination of returns",On farm
1218,Kirinyaga,Local chicken,Post harvest,"Collection, bulking , transportation and trade of eggs","Youth, women and retailers",Income generation,All sub counties
1219,Kirinyaga,Avocado,Post harvest,Collection quantity- recording quantity produced and collected,"Farmers, avocado cooperative","To ensure the right quality standards are adhered to , to enforce the cooperative society's agreement with farmers",farm
1220,Kirinyaga,Banana,Post harvest,Transporting,"farmers, transporters, loaders and off loaders, casuals","timely delivery of produce to the market, delivery of quality produce to market, to demand distribution",Countywide
1221,Kirinyaga,Cattle (milk),Post harvest,Fodder production and conservation,Farmers,"Lower production cost, to ensure you have enough feeds, gurantee of adequate quality feeds during dry season",On farm
1222,Kisii,Banana,Post harvest,Bulking and handling,Cooperative,For easy market access and benefit from economies of scale,Kisii county
1223,Kisii,Cattle (milk),Post harvest,Processing,"Traders and companies, cooperatives","Adds value to the product, prolongs shelf-live, and enhances handling","Cottage level, companies, co-operative level (producer organization level)"
1224,Kisii,Indigenous vegetables,Post harvest,Sorting and grading,Farmers and agricultural extension officers,Helps in pricing,Countywide
1225,Kisii,Local chicken,Post harvest,Storage,Farmers,Avoids damages of eggs; for marketing purposes,
1226,Kitui,Mangoes,Post harvest,Mango collection/aggregation,"Farmers, cooperatives, middlemen","To minimize losses at farm level, for collective marketing","Farms, cooperative centers, aggregation centers"
1227,Kitui,Green grams,Post harvest,Processing,Farmers,"To ensure quality, to reduce post harvest losses",Within the homestead in all subcounties
1228,Kitui,Local chicken,Post harvest,Collection of eggs,women,stock management of product; selection purposes,Countywide
1229,Kitui,Goat,Post harvest,Selection for sale,Farmers,maximize profits,All the eight subcounties apart from the urban settlement
1230,Migori,Sweet potatoes,Post harvest,Collection,"Men, women and youth",To achieve the bulk necessary for market demand,In all respective subcounties where sweet potatoes are produded
1231,Migori,Local vegetables,Post harvest,Sorting and grading,Farm-families and hired labour,To achieve marketing standards,On farms across the county
1232,Migori,Local chicken,Post harvest,Transporting,"Farmers, middlemen, youth and women",To link producers to markets; delivering chicken to and from targeted market,Countywide
1233,Migori,Goat (meat),Post harvest,Processing,"Public health, veterinary, NEEMA and KEBS",for value addition and increasing shelf-life,County
1234,Murang'a,Local chicken,Post harvest,Transportation,Farmers,Taking to the market,From the farm to market
1235,Murang'a,Cattle (milk),Post harvest,Collection,Farmers and dairy cooperative,Reduction of cost of transport and monitoring the quality of milk,Aggregation centers
1236,Murang'a,Banana,Post harvest,Aggregation,"Farmers/traders, transporters, middlemen, loaders",for marketing purpose and quantity/volumes,Aggregation centers
1237,Murang'a,Avocado,Post harvest,Harvesting,"Farmer, youth and casual labourers","To identify mature fruits, to control mechanical damage and minimize post-harvest losses",on-farm mainly in coffee and tea zones
1238,Nandi,Indigenous chicken,Post harvest,Eggs collection and sorting,Farmers,for quality eggs and pricing,Farms
1239,Nandi,Cattle (milk),Post harvest,Storage of milk and feeds,"farmers, P.Os (cooperatives)",prolong quality of milk,"on the farms, on transit to the cooling site"
